the 3822 6.737057340783699
of 2460 4.336253547443197
and 1723 3.0371401879043205
to 1479 2.607040242548166
a 1308 2.3056177398600415
in 997 1.7574165800003525
is 894 1.5758579965098447
that 652 1.1492834605418554
by 607 1.0699617493081384
it 573 1.01002978970933
which 561 0.9888773333803388
not 551 0.9712502864395128
was 536 0.9448097160282738
with 498 0.8778269376531349
be 477 0.8408101390774003
we 463 0.816132273360244
for 443 0.780878179478592
they 441 0.7773527700904268
are 437 0.7703019513140963
but 432 0.7614884278436833
have 398 0.7015564682448749
as 388 0.6839294213040489
their 387 0.6821667166099663
i 353 0.6222347570111579
or 338 0.5957941865999189
his 314 0.5534892739419365
at 312 0.5499638645537713
were 304 0.5358622270011105
he 303 0.5340995223070278
had 275 0.48474379087271513
from 274 0.4829810861786325
no 268 0.4724048580141369
has 244 0.4300999453561545
been 216 0.38074421392184166
an 210 0.3701679857573461
very 209 0.3684052810632635
one 201 0.3543036435106027
who 199 0.35077823412243747
there 195 0.34372741534610707
them 195 0.34372741534610707
some 193 0.34020200595794187
this 187 0.32962577779344626
on 173 0.30494791207628985
where 171 0.30142250268812465
our 166 0.2926089792177117
only 159 0.28027004635913344
than 153 0.26969381819463784
more 152 0.26793111350055526
if 151 0.26616840880647263
so 150 0.26440570411239
all 149 0.26264299941830743
other 136 0.23972783839523365
could 134 0.23620242900706845
little 134 0.23620242900706845
any 132 0.23267701961890325
when 130 0.22915161023073805
found 129 0.22738890553665544
may 126 0.22210079145440764
us 125 0.22033808676032504
great 121 0.21328726798399467
upon 120 0.21152456328991204
its 116 0.20447374451358163
now 115 0.20271103981949903
yet 109 0.19213481165500343
will 106 0.18684669757275563
what 105 0.18508399287867305
him 105 0.18508399287867305
much 104 0.18332128818459043
every 103 0.18155858349050785
made 100 0.17627046940826002
must 100 0.17627046940826002
would 96 0.16921965063192965
those 95 0.16745694593784702
time 93 0.16393153654968182
such 92 0.16216883185559924
can 91 0.16040612716151662
without 90 0.15864342246743404
long 88 0.15511801307926884
never 88 0.15511801307926884
into 87 0.15335530838518624
place 84 0.1480671943029384
two 84 0.1480671943029384
man 83 0.14630448960885584
perhaps 83 0.14630448960885584
house 83 0.14630448960885584
islands 80 0.14101637552660803
many 80 0.14101637552660803
s 79 0.13925367083252543
nor 78 0.13749096613844283
these 78 0.13749096613844283
mr 77 0.13572826144436023
might 77 0.13572826144436023
part 75 0.132202852056195
island 74 0.13044014736211243
col 72 0.12691473797394723
laird 65 0.11457580511536902
sky 64 0.11281310042128644
therefore 63 0.11105039572720382
own 63 0.11105039572720382
ground 62 0.1092876910331212
told 61 0.10752498633903862
country 61 0.10752498633903862
life 61 0.10752498633903862
though 60 0.10576228164495602
cannot 60 0.10576228164495602
men 59 0.10399957695087342
having 58 0.10223687225679082
came 56 0.09871146286862562
inhabitants 55 0.09694875817454301
another 54 0.09518605348046041
here 54 0.09518605348046041
places 54 0.09518605348046041
always 54 0.09518605348046041
english 54 0.09518605348046041
should 54 0.09518605348046041
people 53 0.09342334878637781
among 53 0.09342334878637781
first 52 0.09166064409229521
scotland 51 0.08989793939821261
way 51 0.08989793939821261
said 51 0.08989793939821261
did 51 0.08989793939821261
because 51 0.08989793939821261
whose 50 0.08813523470413001
about 50 0.08813523470413001
before 50 0.08813523470413001
small 48 0.08460982531596482
like 48 0.08460982531596482
maclean 48 0.08460982531596482
till 47 0.08284712062188222
however 47 0.08284712062188222
her 47 0.08284712062188222
seen 47 0.08284712062188222
whether 47 0.08284712062188222
sea 47 0.08284712062188222
less 46 0.08108441592779962
over 46 0.08108441592779962
nothing 46 0.08108441592779962
same 46 0.08108441592779962
hundred 46 0.08108441592779962
then 46 0.08108441592779962
years 45 0.07932171123371702
called 45 0.07932171123371702
make 45 0.07932171123371702
last 45 0.07932171123371702
well 44 0.07755900653963442
day 44 0.07755900653963442
few 44 0.07755900653963442
still 44 0.07755900653963442
being 44 0.07755900653963442
sometimes 44 0.07755900653963442
countries 43 0.0757963018455518
once 43 0.0757963018455518
power 43 0.0757963018455518
my 42 0.0740335971514692
easily 42 0.0740335971514692
away 42 0.0740335971514692
often 41 0.0722708924573866
use 41 0.0722708924573866
land 41 0.0722708924573866
neither 40 0.07050818776330402
common 40 0.07050818776330402
far 40 0.07050818776330402
old 40 0.07050818776330402
do 40 0.07050818776330402
after 40 0.07050818776330402
known 39 0.06874548306922142
seems 39 0.06874548306922142
water 39 0.06874548306922142
new 39 0.06874548306922142
himself 39 0.06874548306922142
whom 39 0.06874548306922142
considered 39 0.06874548306922142
know 39 0.06874548306922142
think 39 0.06874548306922142
too 38 0.06698277837513882
present 38 0.06698277837513882
general 38 0.06698277837513882
either 38 0.06698277837513882
stone 37 0.06522007368105621
left 36 0.06345736898697361
commonly 36 0.06345736898697361
themselves 36 0.06345736898697361
money 36 0.06345736898697361
saw 36 0.06345736898697361
side 36 0.06345736898697361
better 36 0.06345736898697361
she 35 0.06169466429289101
believe 35 0.06169466429289101
heard 35 0.06169466429289101
cattle 35 0.06169466429289101
ever 34 0.05993195959880841
most 34 0.05993195959880841
ancient 34 0.05993195959880841
between 34 0.05993195959880841
supposed 34 0.05993195959880841
state 33 0.05816925490472581
stones 33 0.05816925490472581
probably 33 0.05816925490472581
whole 33 0.05816925490472581
find 33 0.05816925490472581
me 33 0.05816925490472581
language 33 0.05816925490472581
highlands 33 0.05816925490472581
others 32 0.05640655021064322
reason 32 0.05640655021064322
chief 32 0.05640655021064322
thus 32 0.05640655021064322
want 32 0.05640655021064322
under 32 0.05640655021064322
